t,stamp,gnss_x,gnss_y,gnss_yaw,lio_x,lio_y,lio_yaw,error_m,mean_error_m,yaw_error_rad,icp_used,icp_inliers,icp_rmse_m,icp_median_error_m,icp_iterations,icp_reason,scan_points,keyframes
0.0,1778396571.022092,0.0,0.0,-0.188967,0.0,0.0,-0.188967,0.0,0.0,0.0,False,0,,,0,initial_gnss_ins_alignment,5212,1
0.100167,1778396571.122259,0.0,0.0,-0.189063,0.0008,0.0011,-0.188957,0.0013,0.0007,0.000106,True,4283,0.0991,0.0747,1,converged,5225,1
0.200245,1778396571.222337,0.0,0.0,-0.189063,0.0011,0.001,-0.18895,0.0014,0.0009,0.000113,True,4253,0.0972,0.0714,1,converged,5194,1
0.30036,1778396571.322452,0.0,0.0,-0.18904,0.0024,0.0033,-0.188929,0.0041,0.0017,0.000111,True,4274,0.097,0.0738,1,converged,5217,1
0.400494,1778396571.422586,0.0,0.0,-0.188967,0.0014,-0.0002,-0.188898,0.0014,0.0016,6.9e-05,True,4232,0.096,0.07,2,converged,5167,1
0.500563,1778396571.522655,0.0,0.0,-0.188967,0.0011,0.001,-0.188896,0.0015,0.0016,7.1e-05,True,4242,0.0916,0.0621,1,converged,5177,1
0.600675,1778396571.622767,0.0,0.0,-0.188967,0.0049,0.001,-0.188878,0.0051,0.0021,8.9e-05,True,4228,0.0951,0.0698,2,converged,5159,1
0.700836,1778396571.722928,0.0,0.0,-0.188871,0.0051,0.0004,-0.188921,0.0051,0.0025,5e-05,True,4251,0.0994,0.0749,1,converged,5188,1
0.800908,1778396571.823,0.0,0.0,-0.188871,0.005,-0.0003,-0.188845,0.005,0.0028,2.6e-05,True,4265,0.092,0.0636,1,converged,5209,1
0.901093,1778396571.923185,0.0,0.0,-0.188841,0.0044,-0.0022,-0.188739,0.0049,0.003,0.000102,True,4261,0.1005,0.0778,1,converged,5200,1
1.001246,1778396572.023338,0.0,0.0,-0.188776,0.0019,-0.0036,-0.18878,0.0041,0.0031,4e-06,True,4254,0.0989,0.074,1,converged,5191,1
1.101322,1778396572.123414,0.0,0.0,-0.188776,0.0041,0.0025,-0.188909,0.0048,0.0032,0.000134,True,4285,0.1008,0.0763,2,converged,5230,1
1.201477,1778396572.223569,0.0,0.0,-0.188837,0.0042,0.0024,-0.188892,0.0048,0.0033,5.5e-05,True,4255,0.0986,0.0795,1,converged,5196,2
1.301645,1778396572.323737,0.0,0.0,-0.188776,0.0039,0.0029,-0.188938,0.0048,0.0034,0.000163,True,4260,0.0891,0.0675,1,converged,5195,2
1.401723,1778396572.423815,0.0,0.0,-0.188776,0.0045,0.001,-0.188849,0.0046,0.0035,7.3e-05,True,4258,0.0901,0.0682,1,converged,5193,2
1.501878,1778396572.52397,0.0,0.0,-0.188776,0.0045,0.0013,-0.188834,0.0047,0.0036,5.8e-05,True,4278,0.0938,0.0741,1,converged,5218,2
1.602006,1778396572.624098,0.0,0.0,-0.188776,0.0029,-0.002,-0.188814,0.0035,0.0036,3.9e-05,True,4297,0.0896,0.0664,2,converged,5241,2
1.702077,1778396572.724169,0.0,0.0,-0.188776,0.0065,0.0002,-0.188884,0.0065,0.0038,0.000108,True,4282,0.089,0.0687,2,converged,5223,2
1.802239,1778396572.824331,0.0,0.0,-0.188776,0.006,0.0021,-0.188935,0.0064,0.0039,0.000159,True,4323,0.0934,0.0718,1,converged,5272,2
1.90237,1778396572.924462,0.0,0.0,-0.188967,0.0048,0.0025,-0.188997,0.0054,0.004,3e-05,True,4278,0.0893,0.0673,1,converged,5218,2
2.002406,1778396573.024498,0.0,0.0,-0.188871,0.0043,0.0008,-0.188906,0.0044,0.004,3.5e-05,True,4287,0.086,0.0624,1,converged,5228,2
2.102592,1778396573.124684,-0.0095,0.0,-0.188967,0.0045,0.0007,-0.188905,0.014,0.0044,6.2e-05,True,4266,0.0933,0.075,1,converged,5203,2
2.202742,1778396573.224834,-0.0095,0.0,-0.188967,0.0042,-0.0014,-0.188967,0.0138,0.0049,1e-06,True,4269,0.0907,0.0662,1,converged,5206,2
2.302819,1778396573.324911,0.0,0.0,-0.188776,0.0041,-0.0013,-0.188849,0.0043,0.0048,7.4e-05,True,4261,0.0935,0.0753,1,converged,5197,2
2.40295,1778396573.425042,0.0,0.0,-0.188967,0.0052,-0.0006,-0.188937,0.0052,0.0048,3e-05,True,4270,0.0926,0.0719,1,converged,5208,3
2.503061,1778396573.525153,0.0,0.0,-0.188871,0.0025,-0.0034,-0.188877,0.0042,0.0048,6e-06,True,4256,0.085,0.0634,2,converged,5191,3
2.603181,1778396573.625273,0.0,0.0,-0.188584,0.0094,0.0047,-0.188988,0.0105,0.005,0.000404,True,4262,0.0887,0.0686,3,converged,5198,3
2.70332,1778396573.725412,0.0,0.0,-0.188488,0.002,-0.0049,-0.188715,0.0053,0.005,0.000228,True,4230,0.0869,0.0648,3,converged,5159,3
2.80341,1778396573.825502,0.0,0.0,-0.188732,0.0026,-0.0014,-0.188893,0.003,0.005,0.000161,True,4280,0.0846,0.0609,2,converged,5220,3
2.90353,1778396573.925622,0.0,0.0,-0.188584,0.003,0.001,-0.188829,0.0032,0.0049,0.000246,True,4292,0.0898,0.0674,1,converged,5235,3
3.003644,1778396574.025736,0.0095,0.0,-0.188584,0.0036,-0.0002,-0.188799,0.0059,0.0049,0.000215,True,4257,0.0873,0.0653,1,converged,5192,3
3.103819,1778396574.125911,0.0,0.0,-0.18868,0.003,-0.003,-0.188913,0.0042,0.0049,0.000233,True,4280,0.0948,0.0701,1,converged,5221,3
3.203896,1778396574.225988,0.0095,0.0,-0.188776,0.0048,0.0022,-0.188848,0.0052,0.0049,7.2e-05,True,4265,0.0916,0.0731,2,converged,5202,3
3.304059,1778396574.326151,0.0,0.0,-0.188488,0.0008,-0.0047,-0.188801,0.0048,0.0049,0.000313,True,4251,0.0921,0.0729,2,converged,5184,3
3.404217,1778396574.426309,0.0,0.0,-0.188776,0.0061,-0.0,-0.188983,0.0061,0.005,0.000207,True,4229,0.0949,0.0728,2,converged,5158,3
3.504294,1778396574.526386,0.0095,0.0,-0.188488,0.009,0.0017,-0.188801,0.0018,0.0049,0.000314,True,4288,0.0896,0.0731,1,converged,5230,3
3.60446,1778396574.626552,0.0095,0.0,-0.188392,0.0064,0.0003,-0.188821,0.0031,0.0048,0.000429,True,4264,0.0947,0.0749,2,converged,5200,4
3.704576,1778396574.726668,0.0095,0.0,-0.188584,0.0047,-0.0018,-0.188821,0.0051,0.0048,0.000237,True,4271,0.0921,0.0725,1,converged,5209,4
3.80469,1778396574.826782,0.0095,0.0,-0.188457,0.0102,0.0003,-0.188926,0.0007,0.0047,0.000468,True,4242,0.0905,0.0693,2,converged,5173,4
3.904808,1778396574.9269,0.0095,0.0,-0.188613,0.0084,0.003,-0.189014,0.0032,0.0047,0.0004,True,4265,0.0929,0.0727,2,converged,5201,4
4.004952,1778396575.027044,0.0095,0.0,-0.188612,0.0105,-0.0033,-0.188911,0.0035,0.0047,0.000299,True,4263,0.0932,0.0749,2,converged,5199,4
4.105028,1778396575.12712,0.019,0.0,-0.188652,0.0127,-0.0058,-0.188904,0.0086,0.0047,0.000252,True,4265,0.092,0.071,1,converged,5202,4
4.205156,1778396575.227248,0.019,0.0,-0.18868,0.0149,-0.0036,-0.188908,0.0055,0.0048,0.000229,True,4282,0.0958,0.0752,2,converged,5222,4
4.305345,1778396575.327437,0.0285,0.0,-0.188104,0.0174,-0.0056,-0.188793,0.0124,0.0049,0.000689,True,4238,0.0962,0.0775,1,converged,5169,4
4.405381,1778396575.427473,0.0356,-0.0111,-0.1882,0.024,-0.012,-0.188838,0.0116,0.0051,0.000638,True,4255,0.0904,0.0726,2,converged,5189,4
4.505543,1778396575.527635,0.0381,-0.0111,-0.188127,0.0276,-0.0099,-0.188634,0.0105,0.0052,0.000507,True,4203,0.0947,0.0779,2,converged,5126,4
4.605653,1778396575.627745,0.0476,-0.0111,-0.187891,0.0291,-0.015,-0.188715,0.0189,0.0055,0.000824,True,4250,0.096,0.0794,2,converged,5183,4
4.70573,1778396575.727822,0.0571,-0.0111,-0.1882,0.0358,-0.0127,-0.188792,0.0214,0.0058,0.000592,True,4263,0.0964,0.0795,2,converged,5199,4
4.805898,1778396575.82799,0.0666,-0.0111,-0.188009,0.0402,-0.0176,-0.188534,0.0272,0.0063,0.000526,True,4252,0.0976,0.0827,2,converged,5186,5
